cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset (by weighted the boundary points).
load parameters
Now try to run the WCL algorithm, by scaling up boundary sample scores
Scale up the boundary sample scores to 1
Start to select 12000 samples for a fair comparison.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [============>....................................................] 10/47   Step: 956ms | Tot: 8s786ms | Loss: 0.749 | Acc: 79.727% (2041/2560)              
 [=============>...................................................] 11/47   Step: 1s71ms | Tot: 9s858ms | Loss: 0.743 | Acc: 79.901% (2250/2816)              
 [===============>.................................................] 12/47   Step: 957ms | Tot: 10s815ms | Loss: 0.735 | Acc: 79.915% (2455/3072)              
 [================>................................................] 13/47   Step: 973ms | Tot: 11s788ms | Loss: 0.735 | Acc: 80.018% (2663/3328)              
 [=================>...............................................] 14/47   Step: 957ms | Tot: 12s745ms | Loss: 0.735 | Acc: 80.078% (2870/3584)              
 [===================>.............................................] 15/47   Step: 1s63ms | Tot: 13s809ms | Loss: 0.733 | Acc: 80.130% (3077/3840)              
 [====================>............................................] 16/47   Step: 953ms | Tot: 14s763ms | Loss: 0.730 | Acc: 80.078% (3280/4096)              
 [======================>..........................................] 17/47   Step: 956ms | Tot: 15s719ms | Loss: 0.722 | Acc: 80.331% (3496/4352)              
 [=======================>.........................................] 18/47   Step: 953ms | Tot: 16s672ms | Loss: 0.714 | Acc: 80.556% (3712/4608)              
 [========================>........................................] 19/47   Step: 958ms | Tot: 17s631ms | Loss: 0.714 | Acc: 80.510% (3916/4864)              
 [==========================>......................................] 20/47   Step: 1s67ms | Tot: 18s699ms | Loss: 0.714 | Acc: 80.508% (4122/5120)              
 [===========================>.....................................] 21/47   Step: 954ms | Tot: 19s653ms | Loss: 0.708 | Acc: 80.673% (4337/5376)              
 [=============================>...................................] 22/47   Step: 957ms | Tot: 20s610ms | Loss: 0.712 | Acc: 80.611% (4540/5632)              
 [==============================>..................................] 23/47   Step: 974ms | Tot: 21s585ms | Loss: 0.715 | Acc: 80.571% (4744/5888)              
 [===============================>.................................] 24/47   Step: 953ms | Tot: 22s538ms | Loss: 0.718 | Acc: 80.436% (4942/6144)              
 [=================================>...............................] 25/47   Step: 1s64ms | Tot: 23s602ms | Loss: 0.716 | Acc: 80.500% (5152/6400)              
