cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 9674 samples for weakkness <= 7.
Train with the selected 9674 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [======>..........................................................] 5/38   Step: 982ms | Tot: 3s947ms | Loss: 0.025 | Acc: 99.609% (1275/1280)              
 [========>........................................................] 6/38   Step: 1s85ms | Tot: 5s33ms | Loss: 0.024 | Acc: 99.609% (1530/1536)              
 [==========>......................................................] 7/38   Step: 988ms | Tot: 6s22ms | Loss: 0.023 | Acc: 99.665% (1786/1792)              
 [===========>.....................................................] 8/38   Step: 987ms | Tot: 7s9ms | Loss: 0.022 | Acc: 99.707% (2042/2048)              
 [=============>...................................................] 9/38   Step: 980ms | Tot: 7s989ms | Loss: 0.026 | Acc: 99.436% (2291/2304)              
 [===============>.................................................] 10/38   Step: 980ms | Tot: 8s970ms | Loss: 0.025 | Acc: 99.492% (2547/2560)              
 [=================>...............................................] 11/38   Step: 1s78ms | Tot: 10s48ms | Loss: 0.024 | Acc: 99.503% (2802/2816)              
 [==================>..............................................] 12/38   Step: 967ms | Tot: 11s15ms | Loss: 0.024 | Acc: 99.512% (3057/3072)              
 [====================>............................................] 13/38   Step: 963ms | Tot: 11s979ms | Loss: 0.023 | Acc: 99.519% (3312/3328)              
 [======================>..........................................] 14/38   Step: 983ms | Tot: 12s962ms | Loss: 0.024 | Acc: 99.498% (3566/3584)              
 [=======================>.........................................] 15/38   Step: 962ms | Tot: 13s925ms | Loss: 0.024 | Acc: 99.505% (3821/3840)              
 [=========================>.......................................] 16/38   Step: 1s77ms | Tot: 15s2ms | Loss: 0.024 | Acc: 99.512% (4076/4096)              
 [===========================>.....................................] 17/38   Step: 967ms | Tot: 15s969ms | Loss: 0.024 | Acc: 99.517% (4331/4352)              
 [=============================>...................................] 18/38   Step: 966ms | Tot: 16s936ms | Loss: 0.024 | Acc: 99.523% (4586/4608)              
 [==============================>..................................] 19/38   Step: 966ms | Tot: 17s902ms | Loss: 0.025 | Acc: 99.465% (4838/4864)              
 [================================>................................] 20/38   Step: 1s66ms | Tot: 18s968ms | Loss: 0.025 | Acc: 99.473% (5093/5120)              
 [==================================>..............................] 21/38   Step: 966ms | Tot: 19s934ms | Loss: 0.025 | Acc: 99.442% (5346/5376)              
 [===================================>.............................] 22/38   Step: 962ms | Tot: 20s897ms | Loss: 0.025 | Acc: 99.467% (5602/5632)              
 [=====================================>...........................] 23/38   Step: 962ms | Tot: 21s860ms | Loss: 0.025 | Acc: 99.440% (5855/5888)              
 [=======================================>.........................] 24/38   Step: 984ms | Tot: 22s844ms | Loss: 0.026 | Acc: 99.430% (6109/6144)              
 [=========================================>.......................] 25/38   Step: 1s97ms | Tot: 23s942ms | Loss: 0.026 | Acc: 99.422% (6363/6400)              
 [==========================================>......................] 26/38   Step: 967ms | Tot: 24s909ms | Loss: 0.026 | Acc: 99.399% (6616/6656)              
 [============================================>....................] 27/38   Step: 964ms | Tot: 25s874ms | Loss: 0.025 | Acc: 99.407% (6871/6912)              
 [==============================================>..................] 28/38   Step: 970ms | Tot: 26s844ms | Loss: 0.026 | Acc: 99.400% (7125/7168)              
 [===============================================>.................] 29/38   Step: 967ms | Tot: 27s811ms | Loss: 0.025 | Acc: 99.394% (7379/7424)              
 [=================================================>...............] 30/38   Step: 1s87ms | Tot: 28s899ms | Loss: 0.025 | Acc: 99.388% (7633/7680)              
 [===================================================>.............] 31/38   Step: 963ms | Tot: 29s862ms | Loss: 0.025 | Acc: 99.395% (7888/7936)              
 [=====================================================>...........] 32/38   Step: 963ms | Tot: 30s826ms | Loss: 0.025 | Acc: 99.402% (8143/8192)              
 [======================================================>..........] 33/38   Step: 961ms | Tot: 31s787ms | Loss: 0.025 | Acc: 99.408% (8398/8448)              
 [========================================================>........] 34/38   Step: 952ms | Tot: 32s740ms | Loss: 0.025 | Acc: 99.414% (8653/8704)              
 [==========================================================>......] 35/38   Step: 954ms | Tot: 33s694ms | Loss: 0.025 | Acc: 99.420% (8908/8960)              
 [===========================================================>.....] 36/38   Step: 853ms | Tot: 34s547ms | Loss: 0.024 | Acc: 99.436% (9164/9216)              
 [=============================================================>...] 37/38   Step: 852ms | Tot: 35s400ms | Loss: 0.024 | Acc: 99.451% (9420/9472)              
 [===============================================================>.] 38/38   Step: 867ms | Tot: 36s268ms | Loss: 0.024 | Acc: 99.452% (9621/9674)
 [>................................................................] 1/40   Step: 1s218ms | Tot: 0ms | Loss: 0.432 | Acc: 87.891% (225/256)              
 [=>...............................................................] 2/40   Step: 430ms | Tot: 430ms | Loss: 0.508 | Acc: 85.547% (438/512)              
 [===>.............................................................] 3/40   Step: 432ms | Tot: 863ms | Loss: 0.507 | Acc: 86.198% (662/768)              
 [====>............................................................] 4/40   Step: 427ms | Tot: 1s290ms | Loss: 0.482 | Acc: 86.914% (890/1024)              
 [======>..........................................................] 5/40   Step: 430ms | Tot: 1s720ms | Loss: 0.462 | Acc: 87.500% (1120/1280)              
 [========>........................................................] 6/40   Step: 425ms | Tot: 2s145ms | Loss: 0.470 | Acc: 87.240% (1340/1536)              
 [=========>.......................................................] 7/40   Step: 530ms | Tot: 2s676ms | Loss: 0.465 | Acc: 87.444% (1567/1792)              
 [===========>.....................................................] 8/40   Step: 428ms | Tot: 3s105ms | Loss: 0.455 | Acc: 87.549% (1793/2048)              
 [=============>...................................................] 9/40   Step: 425ms | Tot: 3s531ms | Loss: 0.456 | Acc: 87.587% (2018/2304)              
 [==============>..................................................] 10/40   Step: 445ms | Tot: 3s977ms | Loss: 0.446 | Acc: 87.891% (2250/2560)              
 [================>................................................] 11/40   Step: 426ms | Tot: 4s403ms | Loss: 0.440 | Acc: 88.033% (2479/2816)              
 [=================>...............................................] 12/40   Step: 440ms | Tot: 4s844ms | Loss: 0.455 | Acc: 87.793% (2697/3072)              
 [===================>.............................................] 13/40   Step: 532ms | Tot: 5s376ms | Loss: 0.450 | Acc: 87.891% (2925/3328)              
 [=====================>...........................................] 14/40   Step: 424ms | Tot: 5s801ms | Loss: 0.439 | Acc: 88.058% (3156/3584)              
 [======================>..........................................] 15/40   Step: 428ms | Tot: 6s229ms | Loss: 0.446 | Acc: 87.969% (3378/3840)              
 [========================>........................................] 16/40   Step: 426ms | Tot: 6s656ms | Loss: 0.455 | Acc: 87.866% (3599/4096)              
 [==========================>......................................] 17/40   Step: 425ms | Tot: 7s82ms | Loss: 0.454 | Acc: 87.914% (3826/4352)              
 [===========================>.....................................] 18/40   Step: 427ms | Tot: 7s509ms | Loss: 0.468 | Acc: 87.413% (4028/4608)              
 [=============================>...................................] 19/40   Step: 532ms | Tot: 8s41ms | Loss: 0.467 | Acc: 87.418% (4252/4864)              
 [==============================>..................................] 20/40   Step: 429ms | Tot: 8s471ms | Loss: 0.465 | Acc: 87.402% (4475/5120)              
