cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the wcl selected dataset.
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Select 50.00 percent samples, 649 overlapping with the pre-selected boundary samples
The unique selected subset size is: 22420
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/88   Step: 1m3s | Tot: 0ms | Loss: 2.349 | Acc: 8.203% (21/256)              
 [>................................................................] 2/88   Step: 1s988ms | Tot: 1s988ms | Loss: 2.346 | Acc: 9.961% (51/512)              
 [=>...............................................................] 3/88   Step: 981ms | Tot: 2s970ms | Loss: 2.325 | Acc: 13.672% (105/768)              
 [==>..............................................................] 4/88   Step: 1s129ms | Tot: 4s99ms | Loss: 2.345 | Acc: 14.453% (148/1024)              
 [==>..............................................................] 5/88   Step: 953ms | Tot: 5s52ms | Loss: 2.305 | Acc: 14.219% (182/1280)              
 [===>.............................................................] 6/88   Step: 954ms | Tot: 6s7ms | Loss: 2.300 | Acc: 15.104% (232/1536)              
 [====>............................................................] 7/88   Step: 956ms | Tot: 6s963ms | Loss: 2.286 | Acc: 16.127% (289/1792)              
 [=====>...........................................................] 8/88   Step: 952ms | Tot: 7s915ms | Loss: 2.269 | Acc: 17.139% (351/2048)              
 [=====>...........................................................] 9/88   Step: 1s53ms | Tot: 8s968ms | Loss: 2.233 | Acc: 17.708% (408/2304)              
 [======>..........................................................] 10/88   Step: 951ms | Tot: 9s920ms | Loss: 2.223 | Acc: 18.438% (472/2560)              
 [=======>.........................................................] 11/88   Step: 947ms | Tot: 10s868ms | Loss: 2.208 | Acc: 18.821% (530/2816)              
 [========>........................................................] 12/88   Step: 948ms | Tot: 11s817ms | Loss: 2.203 | Acc: 19.173% (589/3072)              
 [========>........................................................] 13/88   Step: 981ms | Tot: 12s799ms | Loss: 2.190 | Acc: 19.772% (658/3328)              
 [=========>.......................................................] 14/88   Step: 1s58ms | Tot: 13s858ms | Loss: 2.176 | Acc: 20.312% (728/3584)              
 [======================>..........................................] 15/40   Step: 413ms | Tot: 6s10ms | Loss: 1.803 | Acc: 38.620% (1483/3840)              
 [========================>........................................] 16/40   Step: 413ms | Tot: 6s424ms | Loss: 1.802 | Acc: 38.623% (1582/4096)              
 [==========================>......................................] 17/40   Step: 412ms | Tot: 6s837ms | Loss: 1.800 | Acc: 38.511% (1676/4352)              
 [===========================>.....................................] 18/40   Step: 415ms | Tot: 7s252ms | Loss: 1.797 | Acc: 38.672% (1782/4608)              
 [=============================>...................................] 19/40   Step: 531ms | Tot: 7s784ms | Loss: 1.795 | Acc: 38.610% (1878/4864)              
 [==============================>..................................] 20/40   Step: 412ms | Tot: 8s196ms | Loss: 1.801 | Acc: 38.496% (1971/5120)              
 [================================>................................] 21/40   Step: 413ms | Tot: 8s610ms | Loss: 1.799 | Acc: 38.616% (2076/5376)              
 [==================================>..............................] 22/40   Step: 412ms | Tot: 9s23ms | Loss: 1.801 | Acc: 38.583% (2173/5632)              
 [===================================>.............................] 23/40   Step: 414ms | Tot: 9s437ms | Loss: 1.801 | Acc: 38.706% (2279/5888)              
 [=====================================>...........................] 24/40   Step: 413ms | Tot: 9s851ms | Loss: 1.799 | Acc: 38.770% (2382/6144)              
 [=======================================>.........................] 25/40   Step: 517ms | Tot: 10s368ms | Loss: 1.805 | Acc: 38.750% (2480/6400)              
 [========================================>........................] 26/40   Step: 412ms | Tot: 10s781ms | Loss: 1.806 | Acc: 38.522% (2564/6656)              
 [==========================================>......................] 27/40   Step: 592ms | Tot: 11s373ms | Loss: 1.805 | Acc: 38.556% (2665/6912)              
 [===========================================>.....................] 28/40   Step: 561ms | Tot: 11s935ms | Loss: 1.805 | Acc: 38.449% (2756/7168)              
 [=============================================>...................] 29/40   Step: 412ms | Tot: 12s348ms | Loss: 1.807 | Acc: 38.429% (2853/7424)              
 [===============================================>.................] 30/40   Step: 415ms | Tot: 12s763ms | Loss: 1.805 | Acc: 38.555% (2961/7680)              
 [================================================>................] 31/40   Step: 516ms | Tot: 13s280ms | Loss: 1.802 | Acc: 38.684% (3070/7936)              
 [==================================================>..............] 32/40   Step: 413ms | Tot: 13s693ms | Loss: 1.800 | Acc: 38.611% (3163/8192)              
 [====================================================>............] 33/40   Step: 411ms | Tot: 14s105ms | Loss: 1.799 | Acc: 38.589% (3260/8448)              
