cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 12258 boundary instances.
Select 50.00 percent samples, 2785 overlapping with the pre-selected boundary samples
The unique selected subset size is: 29470
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/116   Step: 1m191ms | Tot: 0ms | Loss: 0.466 | Acc: 88.672% (227/256)              
 [>................................................................] 2/116   Step: 1s976ms | Tot: 1s977ms | Loss: 0.474 | Acc: 88.086% (451/512)              
 [=>...............................................................] 3/116   Step: 978ms | Tot: 2s955ms | Loss: 0.475 | Acc: 88.021% (676/768)              
 [=>...............................................................] 4/116   Step: 1s123ms | Tot: 4s79ms | Loss: 0.462 | Acc: 87.695% (898/1024)              
 [==>..............................................................] 5/116   Step: 949ms | Tot: 5s28ms | Loss: 0.467 | Acc: 87.188% (1116/1280)              
 [==>..............................................................] 6/116   Step: 950ms | Tot: 5s979ms | Loss: 0.474 | Acc: 87.109% (1338/1536)              
 [===>.............................................................] 7/116   Step: 950ms | Tot: 6s929ms | Loss: 0.467 | Acc: 87.556% (1569/1792)              
 [===>.............................................................] 8/116   Step: 950ms | Tot: 7s880ms | Loss: 0.461 | Acc: 87.549% (1793/2048)              
 [====>............................................................] 9/116   Step: 1s49ms | Tot: 8s929ms | Loss: 0.464 | Acc: 87.717% (2021/2304)              
 [=====>...........................................................] 10/116   Step: 952ms | Tot: 9s882ms | Loss: 0.456 | Acc: 87.891% (2250/2560)              
 [=====>...........................................................] 11/116   Step: 947ms | Tot: 10s830ms | Loss: 0.456 | Acc: 87.891% (2475/2816)              
 [======>..........................................................] 12/116   Step: 949ms | Tot: 11s779ms | Loss: 0.446 | Acc: 88.118% (2707/3072)              
 [======>..........................................................] 13/116   Step: 1s79ms | Tot: 12s859ms | Loss: 0.448 | Acc: 88.221% (2936/3328)              
 [=======>.........................................................] 14/116   Step: 959ms | Tot: 13s819ms | Loss: 0.447 | Acc: 88.281% (3164/3584)              
 [=======>.........................................................] 15/116   Step: 953ms | Tot: 14s772ms | Loss: 0.440 | Acc: 88.385% (3394/3840)              
 [=========================================================>.......] 103/116   Step: 945ms | Tot: 1m40s | Loss: 0.298 | Acc: 91.998% (24258/26368)              
 [=========================================================>.......] 104/116   Step: 944ms | Tot: 1m41s | Loss: 0.297 | Acc: 92.003% (24495/26624)              
 [==========================================================>......] 105/116   Step: 952ms | Tot: 1m42s | Loss: 0.297 | Acc: 92.035% (24739/26880)              
 [==========================================================>......] 106/116   Step: 960ms | Tot: 1m43s | Loss: 0.296 | Acc: 92.059% (24981/27136)              
 [===========================================================>.....] 107/116   Step: 1s52ms | Tot: 1m44s | Loss: 0.296 | Acc: 92.071% (25220/27392)              
 [===========================================================>.....] 108/116   Step: 951ms | Tot: 1m45s | Loss: 0.295 | Acc: 92.101% (25464/27648)              
 [============================================================>....] 109/116   Step: 944ms | Tot: 1m46s | Loss: 0.294 | Acc: 92.119% (25705/27904)              
 [=============================================================>...] 110/116   Step: 945ms | Tot: 1m47s | Loss: 0.294 | Acc: 92.131% (25944/28160)              
 [=============================================================>...] 111/116   Step: 1s96ms | Tot: 1m48s | Loss: 0.293 | Acc: 92.163% (26189/28416)              
 [==============================================================>..] 112/116   Step: 856ms | Tot: 1m49s | Loss: 0.293 | Acc: 92.170% (26427/28672)              
 [==============================================================>..] 113/116   Step: 839ms | Tot: 1m50s | Loss: 0.291 | Acc: 92.205% (26673/28928)              
 [===============================================================>.] 114/116   Step: 836ms | Tot: 1m50s | Loss: 0.291 | Acc: 92.218% (26913/29184)              
 [===============================================================>.] 115/116   Step: 844ms | Tot: 1m51s | Loss: 0.291 | Acc: 92.228% (27152/29440)              
 [================================================================>] 116/116   Step: 8s245ms | Tot: 2m74ms | Loss: 0.291 | Acc: 92.209% (27174/29470)
 [>................................................................] 1/40   Step: 1s37ms | Tot: 0ms | Loss: 0.900 | Acc: 76.172% (195/256)              
 [=>...............................................................] 2/40   Step: 419ms | Tot: 419ms | Loss: 0.889 | Acc: 76.562% (392/512)              
 [===>.............................................................] 3/40   Step: 409ms | Tot: 829ms | Loss: 0.997 | Acc: 74.870% (575/768)              
 [====>............................................................] 4/40   Step: 413ms | Tot: 1s242ms | Loss: 1.008 | Acc: 74.023% (758/1024)              
