cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [===========================>.....................................] 18/40   Step: 414ms | Tot: 7s434ms | Loss: 0.968 | Acc: 77.843% (3587/4608)              
 [=============================>...................................] 19/40   Step: 414ms | Tot: 7s849ms | Loss: 0.976 | Acc: 77.570% (3773/4864)              
 [==============================>..................................] 20/40   Step: 415ms | Tot: 8s264ms | Loss: 0.970 | Acc: 77.812% (3984/5120)              
 [================================>................................] 21/40   Step: 430ms | Tot: 8s694ms | Loss: 0.977 | Acc: 77.734% (4179/5376)              
 [==================================>..............................] 22/40   Step: 415ms | Tot: 9s109ms | Loss: 0.982 | Acc: 77.699% (4376/5632)              
 [===================================>.............................] 23/40   Step: 415ms | Tot: 9s525ms | Loss: 0.991 | Acc: 77.649% (4572/5888)              
 [=====================================>...........................] 24/40   Step: 519ms | Tot: 10s45ms | Loss: 0.998 | Acc: 77.490% (4761/6144)              
 [=======================================>.........................] 25/40   Step: 415ms | Tot: 10s460ms | Loss: 0.995 | Acc: 77.516% (4961/6400)              
 [========================================>........................] 26/40   Step: 415ms | Tot: 10s875ms | Loss: 0.996 | Acc: 77.554% (5162/6656)              
 [==========================================>......................] 27/40   Step: 414ms | Tot: 11s289ms | Loss: 0.987 | Acc: 77.734% (5373/6912)              
 [===========================================>.....................] 28/40   Step: 414ms | Tot: 11s704ms | Loss: 0.986 | Acc: 77.706% (5570/7168)              
 [=============================================>...................] 29/40   Step: 419ms | Tot: 12s124ms | Loss: 0.985 | Acc: 77.654% (5765/7424)              
 [===============================================>.................] 30/40   Step: 415ms | Tot: 12s540ms | Loss: 0.985 | Acc: 77.656% (5964/7680)              
 [================================================>................] 31/40   Step: 522ms | Tot: 13s62ms | Loss: 0.988 | Acc: 77.621% (6160/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s477ms | Loss: 0.989 | Acc: 77.625% (6359/8192)              
 [====================================================>............] 33/40   Step: 415ms | Tot: 13s892ms | Loss: 0.988 | Acc: 77.640% (6559/8448)              
 [=====================================================>...........] 34/40   Step: 417ms | Tot: 14s310ms | Loss: 0.993 | Acc: 77.482% (6744/8704)              
 [=======================================================>.........] 35/40   Step: 415ms | Tot: 14s725ms | Loss: 0.987 | Acc: 77.600% (6953/8960)              
 [========================================================>........] 36/40   Step: 375ms | Tot: 15s100ms | Loss: 0.993 | Acc: 77.507% (7143/9216)              
 [==========================================================>......] 37/40   Step: 372ms | Tot: 15s473ms | Loss: 0.993 | Acc: 77.481% (7339/9472)              
 [============================================================>....] 38/40   Step: 477ms | Tot: 15s950ms | Loss: 0.990 | Acc: 77.611% (7550/9728)              
 [=============================================================>...] 39/40   Step: 371ms | Tot: 16s321ms | Loss: 0.990 | Acc: 77.574% (7745/9984)              
 [===============================================================>.] 40/40   Step: 2s241ms | Tot: 18s562ms | Loss: 0.990 | Acc: 77.580% (7758/10000)
Saving with better validation accuracy model: 77.580..

Epoch: 1
 [>................................................................] 1/157   Step: 2s975ms | Tot: 0ms | Loss: 0.009 | Acc: 100.000% (256/256)              
 [>................................................................] 2/157   Step: 972ms | Tot: 972ms | Loss: 0.017 | Acc: 99.805% (511/512)              
 [>................................................................] 3/157   Step: 1s163ms | Tot: 2s135ms | Loss: 0.020 | Acc: 99.609% (765/768)              
 [=>...............................................................] 4/157   Step: 967ms | Tot: 3s103ms | Loss: 0.019 | Acc: 99.707% (1021/1024)              
 [=>...............................................................] 5/157   Step: 965ms | Tot: 4s68ms | Loss: 0.018 | Acc: 99.688% (1276/1280)              
 [==>..............................................................] 6/157   Step: 963ms | Tot: 5s31ms | Loss: 0.017 | Acc: 99.740% (1532/1536)              
 [==>..............................................................] 7/157   Step: 963ms | Tot: 5s995ms | Loss: 0.016 | Acc: 99.777% (1788/1792)              
 [==>..............................................................] 8/157   Step: 1s84ms | Tot: 7s80ms | Loss: 0.016 | Acc: 99.805% (2044/2048)              
 [===>.............................................................] 9/157   Step: 965ms | Tot: 8s46ms | Loss: 0.016 | Acc: 99.826% (2300/2304)              
 [===>.............................................................] 10/157   Step: 965ms | Tot: 9s12ms | Loss: 0.015 | Acc: 99.844% (2556/2560)              
 [====>............................................................] 11/157   Step: 964ms | Tot: 9s976ms | Loss: 0.015 | Acc: 99.858% (2812/2816)              
 [====>............................................................] 12/157   Step: 1s71ms | Tot: 11s48ms | Loss: 0.015 | Acc: 99.870% (3068/3072)              
 [====>............................................................] 13/157   Step: 962ms | Tot: 12s10ms | Loss: 0.015 | Acc: 99.880% (3324/3328)              
 [=====>...........................................................] 14/157   Step: 971ms | Tot: 12s982ms | Loss: 0.015 | Acc: 99.860% (3579/3584)              
 [=====>...........................................................] 15/157   Step: 962ms | Tot: 13s945ms | Loss: 0.015 | Acc: 99.870% (3835/3840)              
 [======>..........................................................] 16/157   Step: 962ms | Tot: 14s907ms | Loss: 0.014 | Acc: 99.878% (4091/4096)              
 [======>..........................................................] 17/157   Step: 1s82ms | Tot: 15s990ms | Loss: 0.014 | Acc: 99.885% (4347/4352)              
 [=======>.........................................................] 18/157   Step: 981ms | Tot: 16s972ms | Loss: 0.014 | Acc: 99.891% (4603/4608)              
 [=======>.........................................................] 19/157   Step: 964ms | Tot: 17s936ms | Loss: 0.015 | Acc: 99.856% (4857/4864)              
 [=======>.........................................................] 20/157   Step: 961ms | Tot: 18s897ms | Loss: 0.015 | Acc: 99.863% (5113/5120)              
 [========>........................................................] 21/157   Step: 1s69ms | Tot: 19s967ms | Loss: 0.014 | Acc: 99.870% (5369/5376)              
 [========>........................................................] 22/157   Step: 960ms | Tot: 20s927ms | Loss: 0.014 | Acc: 99.876% (5625/5632)              
 [=========>.......................................................] 23/157   Step: 961ms | Tot: 21s889ms | Loss: 0.014 | Acc: 99.864% (5880/5888)              
