cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 9674 samples for weakkness <= 7.
Train with the selected 9674 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [======>..........................................................] 5/40   Step: 414ms | Tot: 1s661ms | Loss: 0.440 | Acc: 88.516% (1133/1280)              
 [========>........................................................] 6/40   Step: 414ms | Tot: 2s75ms | Loss: 0.448 | Acc: 88.542% (1360/1536)              
 [=========>.......................................................] 7/40   Step: 520ms | Tot: 2s596ms | Loss: 0.447 | Acc: 88.839% (1592/1792)              
 [===========>.....................................................] 8/40   Step: 413ms | Tot: 3s9ms | Loss: 0.436 | Acc: 89.062% (1824/2048)              
 [=============>...................................................] 9/40   Step: 413ms | Tot: 3s423ms | Loss: 0.433 | Acc: 89.019% (2051/2304)              
 [==============>..................................................] 10/40   Step: 412ms | Tot: 3s836ms | Loss: 0.417 | Acc: 89.375% (2288/2560)              
 [================>................................................] 11/40   Step: 420ms | Tot: 4s257ms | Loss: 0.413 | Acc: 89.418% (2518/2816)              
 [=================>...............................................] 12/40   Step: 417ms | Tot: 4s675ms | Loss: 0.426 | Acc: 89.225% (2741/3072)              
 [===================>.............................................] 13/40   Step: 517ms | Tot: 5s192ms | Loss: 0.421 | Acc: 89.243% (2970/3328)              
 [=====================>...........................................] 14/40   Step: 415ms | Tot: 5s607ms | Loss: 0.413 | Acc: 89.397% (3204/3584)              
 [======================>..........................................] 15/40   Step: 413ms | Tot: 6s21ms | Loss: 0.417 | Acc: 89.401% (3433/3840)              
 [========================>........................................] 16/40   Step: 413ms | Tot: 6s435ms | Loss: 0.427 | Acc: 89.209% (3654/4096)              
 [==========================>......................................] 17/40   Step: 419ms | Tot: 6s854ms | Loss: 0.428 | Acc: 89.154% (3880/4352)              
 [===========================>.....................................] 18/40   Step: 525ms | Tot: 7s380ms | Loss: 0.441 | Acc: 88.802% (4092/4608)              
 [=============================>...................................] 19/40   Step: 414ms | Tot: 7s795ms | Loss: 0.440 | Acc: 88.795% (4319/4864)              
 [==============================>..................................] 20/40   Step: 417ms | Tot: 8s212ms | Loss: 0.437 | Acc: 88.867% (4550/5120)              
 [================================>................................] 21/40   Step: 424ms | Tot: 8s637ms | Loss: 0.444 | Acc: 88.802% (4774/5376)              
 [==================================>..............................] 22/40   Step: 430ms | Tot: 9s68ms | Loss: 0.447 | Acc: 88.654% (4993/5632)              
 [===================================>.............................] 23/40   Step: 415ms | Tot: 9s483ms | Loss: 0.447 | Acc: 88.621% (5218/5888)              
 [=====================================>...........................] 24/40   Step: 514ms | Tot: 9s997ms | Loss: 0.444 | Acc: 88.639% (5446/6144)              
 [=======================================>.........................] 25/40   Step: 414ms | Tot: 10s412ms | Loss: 0.447 | Acc: 88.594% (5670/6400)              
 [========================================>........................] 26/40   Step: 416ms | Tot: 10s828ms | Loss: 0.455 | Acc: 88.447% (5887/6656)              
 [==========================================>......................] 27/40   Step: 414ms | Tot: 11s243ms | Loss: 0.459 | Acc: 88.397% (6110/6912)              
 [===========================================>.....................] 28/40   Step: 414ms | Tot: 11s657ms | Loss: 0.466 | Acc: 88.281% (6328/7168)              
 [=============================================>...................] 29/40   Step: 518ms | Tot: 12s176ms | Loss: 0.467 | Acc: 88.308% (6556/7424)              
 [===============================================>.................] 30/40   Step: 415ms | Tot: 12s591ms | Loss: 0.465 | Acc: 88.320% (6783/7680)              
 [================================================>................] 31/40   Step: 414ms | Tot: 13s5ms | Loss: 0.466 | Acc: 88.319% (7009/7936)              
 [==================================================>..............] 32/40   Step: 413ms | Tot: 13s419ms | Loss: 0.464 | Acc: 88.367% (7239/8192)              
 [====================================================>............] 33/40   Step: 414ms | Tot: 13s833ms | Loss: 0.461 | Acc: 88.411% (7469/8448)              
 [=====================================================>...........] 34/40   Step: 421ms | Tot: 14s254ms | Loss: 0.461 | Acc: 88.431% (7697/8704)              
 [=======================================================>.........] 35/40   Step: 519ms | Tot: 14s773ms | Loss: 0.461 | Acc: 88.449% (7925/8960)              
 [========================================================>........] 36/40   Step: 376ms | Tot: 15s150ms | Loss: 0.466 | Acc: 88.357% (8143/9216)              
 [==========================================================>......] 37/40   Step: 372ms | Tot: 15s522ms | Loss: 0.465 | Acc: 88.345% (8368/9472)              
 [============================================================>....] 38/40   Step: 369ms | Tot: 15s892ms | Loss: 0.466 | Acc: 88.250% (8585/9728)              
 [=============================================================>...] 39/40   Step: 370ms | Tot: 16s262ms | Loss: 0.463 | Acc: 88.331% (8819/9984)              
 [===============================================================>.] 40/40   Step: 480ms | Tot: 16s743ms | Loss: 0.464 | Acc: 88.320% (8832/10000)
Saving with better validation accuracy model: 88.320..

Epoch: 2
 [>................................................................] 1/38   Step: 1s997ms | Tot: 0ms | Loss: 0.003 | Acc: 100.000% (256/256)              
 [=>...............................................................] 2/38   Step: 978ms | Tot: 979ms | Loss: 0.002 | Acc: 100.000% (512/512)              
 [===>.............................................................] 3/38   Step: 965ms | Tot: 1s944ms | Loss: 0.002 | Acc: 100.000% (768/768)              
 [=====>...........................................................] 4/38   Step: 967ms | Tot: 2s912ms | Loss: 0.002 | Acc: 100.000% (1024/1024)              
 [======>..........................................................] 5/38   Step: 1s139ms | Tot: 4s52ms | Loss: 0.002 | Acc: 100.000% (1280/1280)              
 [========>........................................................] 6/38   Step: 963ms | Tot: 5s15ms | Loss: 0.002 | Acc: 100.000% (1536/1536)              
 [==========>......................................................] 7/38   Step: 979ms | Tot: 5s994ms | Loss: 0.002 | Acc: 100.000% (1792/1792)              
 [===========>.....................................................] 8/38   Step: 968ms | Tot: 6s963ms | Loss: 0.002 | Acc: 100.000% (2048/2048)              
 [=============>...................................................] 9/38   Step: 1s70ms | Tot: 8s33ms | Loss: 0.003 | Acc: 100.000% (2304/2304)              
