cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [======================>..........................................] 15/40   Step: 412ms | Tot: 6s83ms | Loss: 0.255 | Acc: 93.229% (3580/3840)              
 [========================>........................................] 16/40   Step: 520ms | Tot: 6s604ms | Loss: 0.256 | Acc: 93.164% (3816/4096)              
 [==========================>......................................] 17/40   Step: 424ms | Tot: 7s28ms | Loss: 0.256 | Acc: 93.222% (4057/4352)              
 [===========================>.....................................] 18/40   Step: 425ms | Tot: 7s454ms | Loss: 0.263 | Acc: 93.164% (4293/4608)              
 [=============================>...................................] 19/40   Step: 414ms | Tot: 7s868ms | Loss: 0.261 | Acc: 93.174% (4532/4864)              
 [==============================>..................................] 20/40   Step: 416ms | Tot: 8s285ms | Loss: 0.259 | Acc: 93.242% (4774/5120)              
 [================================>................................] 21/40   Step: 427ms | Tot: 8s712ms | Loss: 0.259 | Acc: 93.173% (5009/5376)              
 [==================================>..............................] 22/40   Step: 518ms | Tot: 9s231ms | Loss: 0.263 | Acc: 93.164% (5247/5632)              
 [===================================>.............................] 23/40   Step: 412ms | Tot: 9s643ms | Loss: 0.265 | Acc: 93.122% (5483/5888)              
 [=====================================>...........................] 24/40   Step: 419ms | Tot: 10s62ms | Loss: 0.263 | Acc: 93.132% (5722/6144)              
 [=======================================>.........................] 25/40   Step: 415ms | Tot: 10s478ms | Loss: 0.269 | Acc: 93.047% (5955/6400)              
 [========================================>........................] 26/40   Step: 411ms | Tot: 10s890ms | Loss: 0.273 | Acc: 93.029% (6192/6656)              
 [==========================================>......................] 27/40   Step: 412ms | Tot: 11s302ms | Loss: 0.276 | Acc: 92.969% (6426/6912)              
 [===========================================>.....................] 28/40   Step: 518ms | Tot: 11s821ms | Loss: 0.280 | Acc: 92.885% (6658/7168)              
 [=============================================>...................] 29/40   Step: 418ms | Tot: 12s239ms | Loss: 0.283 | Acc: 92.888% (6896/7424)              
 [===============================================>.................] 30/40   Step: 411ms | Tot: 12s650ms | Loss: 0.278 | Acc: 92.956% (7139/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s66ms | Loss: 0.279 | Acc: 92.956% (7377/7936)              
 [==================================================>..............] 32/40   Step: 410ms | Tot: 13s476ms | Loss: 0.277 | Acc: 93.005% (7619/8192)              
 [====================================================>............] 33/40   Step: 412ms | Tot: 13s889ms | Loss: 0.278 | Acc: 92.981% (7855/8448)              
