cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the wcl selected dataset.
load parameters
Now try to run the WCL algorithm
Selected 3069 boundary instances.
Start to select 6506 samples for a fair comparison.
The unique selected subset size is: 6506
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [===============================================================>.] 40/40   Step: 489ms | Tot: 17s99ms | Loss: 0.681 | Acc: 84.240% (8424/10000)

Epoch: 2
 [>................................................................] 1/26   Step: 1s883ms | Tot: 0ms | Loss: 0.153 | Acc: 94.531% (242/256)              
 [==>..............................................................] 2/26   Step: 969ms | Tot: 969ms | Loss: 0.216 | Acc: 94.336% (483/512)              
 [=====>...........................................................] 3/26   Step: 973ms | Tot: 1s942ms | Loss: 0.218 | Acc: 94.531% (726/768)              
 [=======>.........................................................] 4/26   Step: 966ms | Tot: 2s909ms | Loss: 0.206 | Acc: 94.727% (970/1024)              
 [==========>......................................................] 5/26   Step: 1s178ms | Tot: 4s87ms | Loss: 0.198 | Acc: 94.766% (1213/1280)              
 [============>....................................................] 6/26   Step: 978ms | Tot: 5s65ms | Loss: 0.197 | Acc: 94.792% (1456/1536)              
 [===============>.................................................] 7/26   Step: 974ms | Tot: 6s39ms | Loss: 0.190 | Acc: 94.978% (1702/1792)              
 [=================>...............................................] 8/26   Step: 976ms | Tot: 7s16ms | Loss: 0.198 | Acc: 94.775% (1941/2048)              
 [====================>............................................] 9/26   Step: 1s101ms | Tot: 8s118ms | Loss: 0.198 | Acc: 94.661% (2181/2304)              
 [======================>..........................................] 10/26   Step: 972ms | Tot: 9s90ms | Loss: 0.202 | Acc: 94.609% (2422/2560)              
 [=========================>.......................................] 11/26   Step: 966ms | Tot: 10s57ms | Loss: 0.201 | Acc: 94.567% (2663/2816)              
 [===========================>.....................................] 12/26   Step: 966ms | Tot: 11s24ms | Loss: 0.197 | Acc: 94.727% (2910/3072)              
 [==============================>..................................] 13/26   Step: 970ms | Tot: 11s995ms | Loss: 0.208 | Acc: 94.621% (3149/3328)              
 [================================>................................] 14/26   Step: 1s76ms | Tot: 13s71ms | Loss: 0.206 | Acc: 94.643% (3392/3584)              
 [===================================>.............................] 15/26   Step: 978ms | Tot: 14s49ms | Loss: 0.197 | Acc: 94.818% (3641/3840)              
 [=====================================>...........................] 16/26   Step: 953ms | Tot: 15s3ms | Loss: 0.194 | Acc: 94.897% (3887/4096)              
 [========================================>........................] 17/26   Step: 954ms | Tot: 15s957ms | Loss: 0.191 | Acc: 94.945% (4132/4352)              
 [==========================================>......................] 18/26   Step: 1s57ms | Tot: 17s15ms | Loss: 0.188 | Acc: 95.009% (4378/4608)              
 [=============================================>...................] 19/26   Step: 954ms | Tot: 17s969ms | Loss: 0.189 | Acc: 95.045% (4623/4864)              
 [===============================================>.................] 20/26   Step: 960ms | Tot: 18s930ms | Loss: 0.187 | Acc: 95.078% (4868/5120)              
 [==================================================>..............] 21/26   Step: 954ms | Tot: 19s884ms | Loss: 0.189 | Acc: 95.071% (5111/5376)              
 [====================================================>............] 22/26   Step: 892ms | Tot: 20s776ms | Loss: 0.190 | Acc: 95.046% (5353/5632)              
 [=======================================================>.........] 23/26   Step: 950ms | Tot: 21s726ms | Loss: 0.190 | Acc: 95.024% (5595/5888)              
 [=========================================================>.......] 24/26   Step: 839ms | Tot: 22s565ms | Loss: 0.186 | Acc: 95.101% (5843/6144)              
 [============================================================>....] 25/26   Step: 847ms | Tot: 23s413ms | Loss: 0.186 | Acc: 95.109% (6087/6400)              
 [==============================================================>..] 26/26   Step: 874ms | Tot: 24s288ms | Loss: 0.184 | Acc: 95.158% (6191/6506)
 [>................................................................] 1/40   Step: 1s18ms | Tot: 0ms | Loss: 0.573 | Acc: 87.500% (224/256)              
 [=>...............................................................] 2/40   Step: 580ms | Tot: 580ms | Loss: 0.622 | Acc: 85.742% (439/512)              
 [===>.............................................................] 3/40   Step: 420ms | Tot: 1s | Loss: 0.624 | Acc: 84.766% (651/768)              
 [====>............................................................] 4/40   Step: 422ms | Tot: 1s423ms | Loss: 0.631 | Acc: 84.668% (867/1024)              
 [======>..........................................................] 5/40   Step: 420ms | Tot: 1s843ms | Loss: 0.617 | Acc: 85.000% (1088/1280)              
