cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 5439 samples for weakkness <= 5.
Train with the selected 5439 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [========================================================>........] 36/40   Step: 479ms | Tot: 15s367ms | Loss: 1.058 | Acc: 74.154% (6834/9216)              
 [==========================================================>......] 37/40   Step: 369ms | Tot: 15s736ms | Loss: 1.054 | Acc: 74.272% (7035/9472)              
 [============================================================>....] 38/40   Step: 369ms | Tot: 16s105ms | Loss: 1.058 | Acc: 74.157% (7214/9728)              
 [=============================================================>...] 39/40   Step: 368ms | Tot: 16s473ms | Loss: 1.054 | Acc: 74.189% (7407/9984)              
 [===============================================================>.] 40/40   Step: 373ms | Tot: 16s847ms | Loss: 1.054 | Acc: 74.190% (7419/10000)
Saving with better validation accuracy model: 74.190..

Epoch: 2
 [>................................................................] 1/22   Step: 1s967ms | Tot: 0ms | Loss: 0.040 | Acc: 98.828% (253/256)              
 [==>..............................................................] 2/22   Step: 1s126ms | Tot: 1s126ms | Loss: 0.030 | Acc: 99.023% (507/512)              
 [=====>...........................................................] 3/22   Step: 969ms | Tot: 2s96ms | Loss: 0.027 | Acc: 99.349% (763/768)              
 [========>........................................................] 4/22   Step: 981ms | Tot: 3s77ms | Loss: 0.025 | Acc: 99.512% (1019/1024)              
 [===========>.....................................................] 5/22   Step: 962ms | Tot: 4s40ms | Loss: 0.026 | Acc: 99.531% (1274/1280)              
 [==============>..................................................] 6/22   Step: 978ms | Tot: 5s19ms | Loss: 0.026 | Acc: 99.544% (1529/1536)              
 [=================>...............................................] 7/22   Step: 1s108ms | Tot: 6s127ms | Loss: 0.025 | Acc: 99.554% (1784/1792)              
 [====================>............................................] 8/22   Step: 962ms | Tot: 7s90ms | Loss: 0.024 | Acc: 99.609% (2040/2048)              
 [=======================>.........................................] 9/22   Step: 970ms | Tot: 8s60ms | Loss: 0.023 | Acc: 99.653% (2296/2304)              
 [==========================>......................................] 10/22   Step: 956ms | Tot: 9s17ms | Loss: 0.024 | Acc: 99.648% (2551/2560)              
 [=============================>...................................] 11/22   Step: 1s68ms | Tot: 10s85ms | Loss: 0.024 | Acc: 99.645% (2806/2816)              
 [================================>................................] 12/22   Step: 948ms | Tot: 11s33ms | Loss: 0.024 | Acc: 99.674% (3062/3072)              
 [===================================>.............................] 13/22   Step: 946ms | Tot: 11s980ms | Loss: 0.024 | Acc: 99.669% (3317/3328)              
 [======================================>..........................] 14/22   Step: 948ms | Tot: 12s929ms | Loss: 0.025 | Acc: 99.665% (3572/3584)              
 [=========================================>.......................] 15/22   Step: 948ms | Tot: 13s877ms | Loss: 0.025 | Acc: 99.661% (3827/3840)              
 [============================================>....................] 16/22   Step: 1s58ms | Tot: 14s936ms | Loss: 0.025 | Acc: 99.658% (4082/4096)              
 [===============================================>.................] 17/22   Step: 962ms | Tot: 15s898ms | Loss: 0.024 | Acc: 99.655% (4337/4352)              
 [==================================================>..............] 18/22   Step: 864ms | Tot: 16s763ms | Loss: 0.024 | Acc: 99.674% (4593/4608)              
 [=====================================================>...........] 19/22   Step: 835ms | Tot: 17s598ms | Loss: 0.024 | Acc: 99.650% (4847/4864)              
 [========================================================>........] 20/22   Step: 837ms | Tot: 18s436ms | Loss: 0.024 | Acc: 99.648% (5102/5120)              
 [===========================================================>.....] 21/22   Step: 944ms | Tot: 19s381ms | Loss: 0.025 | Acc: 99.591% (5354/5376)              
 [==============================================================>..] 22/22   Step: 853ms | Tot: 20s235ms | Loss: 0.027 | Acc: 99.504% (5412/5439)
 [>................................................................] 1/40   Step: 1s72ms | Tot: 0ms | Loss: 0.961 | Acc: 72.266% (185/256)              
 [=>...............................................................] 2/40   Step: 427ms | Tot: 427ms | Loss: 1.060 | Acc: 71.289% (365/512)              
 [===>.............................................................] 3/40   Step: 417ms | Tot: 844ms | Loss: 0.995 | Acc: 74.349% (571/768)              
 [====>............................................................] 4/40   Step: 585ms | Tot: 1s429ms | Loss: 1.001 | Acc: 73.730% (755/1024)              
 [======>..........................................................] 5/40   Step: 421ms | Tot: 1s850ms | Loss: 0.962 | Acc: 74.766% (957/1280)              
 [========>........................................................] 6/40   Step: 420ms | Tot: 2s271ms | Loss: 0.966 | Acc: 74.870% (1150/1536)              
 [=========>.......................................................] 7/40   Step: 421ms | Tot: 2s692ms | Loss: 0.965 | Acc: 74.888% (1342/1792)              
 [===========>.....................................................] 8/40   Step: 421ms | Tot: 3s113ms | Loss: 0.973 | Acc: 75.000% (1536/2048)              
 [=============>...................................................] 9/40   Step: 423ms | Tot: 3s537ms | Loss: 0.949 | Acc: 75.304% (1735/2304)              
 [==============>..................................................] 10/40   Step: 535ms | Tot: 4s73ms | Loss: 0.942 | Acc: 75.547% (1934/2560)              
 [================>................................................] 11/40   Step: 421ms | Tot: 4s494ms | Loss: 0.957 | Acc: 75.497% (2126/2816)              
 [=================>...............................................] 12/40   Step: 420ms | Tot: 4s915ms | Loss: 0.957 | Acc: 75.033% (2305/3072)              
 [===================>.............................................] 13/40   Step: 421ms | Tot: 5s337ms | Loss: 0.961 | Acc: 75.270% (2505/3328)              
 [=====================>...........................................] 14/40   Step: 424ms | Tot: 5s761ms | Loss: 0.964 | Acc: 75.307% (2699/3584)              
 [======================>..........................................] 15/40   Step: 524ms | Tot: 6s286ms | Loss: 0.974 | Acc: 75.260% (2890/3840)              
 [========================>........................................] 16/40   Step: 422ms | Tot: 6s708ms | Loss: 0.975 | Acc: 75.195% (3080/4096)              
 [==========================>......................................] 17/40   Step: 418ms | Tot: 7s127ms | Loss: 0.972 | Acc: 75.161% (3271/4352)              
 [===========================>.....................................] 18/40   Step: 421ms | Tot: 7s548ms | Loss: 0.987 | Acc: 74.935% (3453/4608)              
 [=============================>...................................] 19/40   Step: 419ms | Tot: 7s968ms | Loss: 0.994 | Acc: 74.959% (3646/4864)              
 [==============================>..................................] 20/40   Step: 424ms | Tot: 8s392ms | Loss: 1.001 | Acc: 74.961% (3838/5120)              
 [================================>................................] 21/40   Step: 523ms | Tot: 8s915ms | Loss: 1.004 | Acc: 74.944% (4029/5376)              
 [==================================>..............................] 22/40   Step: 420ms | Tot: 9s336ms | Loss: 1.008 | Acc: 74.822% (4214/5632)              
 [===================================>.............................] 23/40   Step: 419ms | Tot: 9s756ms | Loss: 1.008 | Acc: 74.932% (4412/5888)              
 [=====================================>...........................] 24/40   Step: 419ms | Tot: 10s176ms | Loss: 1.011 | Acc: 74.902% (4602/6144)              
 [=======================================>.........................] 25/40   Step: 419ms | Tot: 10s596ms | Loss: 1.016 | Acc: 74.812% (4788/6400)              
 [========================================>........................] 26/40   Step: 528ms | Tot: 11s124ms | Loss: 1.029 | Acc: 74.654% (4969/6656)              
 [==========================================>......................] 27/40   Step: 419ms | Tot: 11s543ms | Loss: 1.029 | Acc: 74.667% (5161/6912)              
 [===========================================>.....................] 28/40   Step: 420ms | Tot: 11s963ms | Loss: 1.034 | Acc: 74.540% (5343/7168)              
 [=============================================>...................] 29/40   Step: 412ms | Tot: 12s375ms | Loss: 1.034 | Acc: 74.555% (5535/7424)              
 [===============================================>.................] 30/40   Step: 412ms | Tot: 12s788ms | Loss: 1.030 | Acc: 74.596% (5729/7680)              
 [================================================>................] 31/40   Step: 413ms | Tot: 13s201ms | Loss: 1.025 | Acc: 74.698% (5928/7936)              
 [==================================================>..............] 32/40   Step: 517ms | Tot: 13s718ms | Loss: 1.029 | Acc: 74.683% (6118/8192)              
 [====================================================>............] 33/40   Step: 422ms | Tot: 14s141ms | Loss: 1.029 | Acc: 74.692% (6310/8448)              
 [=====================================================>...........] 34/40   Step: 412ms | Tot: 14s553ms | Loss: 1.025 | Acc: 74.816% (6512/8704)              
 [=======================================================>.........] 35/40   Step: 413ms | Tot: 14s967ms | Loss: 1.019 | Acc: 74.944% (6715/8960)              
 [========================================================>........] 36/40   Step: 390ms | Tot: 15s357ms | Loss: 1.020 | Acc: 74.957% (6908/9216)              
 [==========================================================>......] 37/40   Step: 476ms | Tot: 15s833ms | Loss: 1.016 | Acc: 75.084% (7112/9472)              
 [============================================================>....] 38/40   Step: 369ms | Tot: 16s203ms | Loss: 1.021 | Acc: 74.959% (7292/9728)              
 [=============================================================>...] 39/40   Step: 369ms | Tot: 16s573ms | Loss: 1.018 | Acc: 75.000% (7488/9984)              
 [===============================================================>.] 40/40   Step: 375ms | Tot: 16s948ms | Loss: 1.018 | Acc: 75.000% (7500/10000)
Saving with better validation accuracy model: 75.000..

Epoch: 3
 [>................................................................] 1/22   Step: 1s967ms | Tot: 0ms | Loss: 0.027 | Acc: 99.219% (254/256)              
 [==>..............................................................] 2/22   Step: 1s129ms | Tot: 1s129ms | Loss: 0.027 | Acc: 99.219% (508/512)              
 [=====>...........................................................] 3/22   Step: 966ms | Tot: 2s95ms | Loss: 0.031 | Acc: 99.219% (762/768)              
 [========>........................................................] 4/22   Step: 967ms | Tot: 3s62ms | Loss: 0.028 | Acc: 99.219% (1016/1024)              
 [===========>.....................................................] 5/22   Step: 964ms | Tot: 4s27ms | Loss: 0.027 | Acc: 99.297% (1271/1280)              
 [==============>..................................................] 6/22   Step: 988ms | Tot: 5s15ms | Loss: 0.025 | Acc: 99.414% (1527/1536)              
 [=================>...............................................] 7/22   Step: 1s80ms | Tot: 6s96ms | Loss: 0.024 | Acc: 99.498% (1783/1792)              
 [====================>............................................] 8/22   Step: 966ms | Tot: 7s62ms | Loss: 0.025 | Acc: 99.414% (2036/2048)              
 [=======================>.........................................] 9/22   Step: 966ms | Tot: 8s29ms | Loss: 0.024 | Acc: 99.479% (2292/2304)              
 [==========================>......................................] 10/22   Step: 949ms | Tot: 8s978ms | Loss: 0.024 | Acc: 99.492% (2547/2560)              
 [=============================>...................................] 11/22   Step: 1s52ms | Tot: 10s31ms | Loss: 0.023 | Acc: 99.538% (2803/2816)              
 [================================>................................] 12/22   Step: 955ms | Tot: 10s986ms | Loss: 0.024 | Acc: 99.544% (3058/3072)              
 [===================================>.............................] 13/22   Step: 952ms | Tot: 11s939ms | Loss: 0.023 | Acc: 99.579% (3314/3328)              
 [======================================>..........................] 14/22   Step: 948ms | Tot: 12s887ms | Loss: 0.023 | Acc: 99.526% (3567/3584)              
 [=========================================>.......................] 15/22   Step: 953ms | Tot: 13s840ms | Loss: 0.024 | Acc: 99.505% (3821/3840)              
 [============================================>....................] 16/22   Step: 1s63ms | Tot: 14s904ms | Loss: 0.023 | Acc: 99.512% (4076/4096)              
 [===============================================>.................] 17/22   Step: 950ms | Tot: 15s854ms | Loss: 0.024 | Acc: 99.494% (4330/4352)              
 [==================================================>..............] 18/22   Step: 867ms | Tot: 16s722ms | Loss: 0.023 | Acc: 99.523% (4586/4608)              
 [=====================================================>...........] 19/22   Step: 836ms | Tot: 17s559ms | Loss: 0.023 | Acc: 99.548% (4842/4864)              
 [========================================================>........] 20/22   Step: 951ms | Tot: 18s511ms | Loss: 0.022 | Acc: 99.570% (5098/5120)              
 [===========================================================>.....] 21/22   Step: 839ms | Tot: 19s350ms | Loss: 0.022 | Acc: 99.572% (5353/5376)              
 [==============================================================>..] 22/22   Step: 858ms | Tot: 20s209ms | Loss: 0.023 | Acc: 99.577% (5416/5439)
 [>................................................................] 1/40   Step: 1s69ms | Tot: 0ms | Loss: 1.013 | Acc: 75.000% (192/256)              
 [=>...............................................................] 2/40   Step: 425ms | Tot: 426ms | Loss: 1.108 | Acc: 72.266% (370/512)              
 [===>.............................................................] 3/40   Step: 615ms | Tot: 1s41ms | Loss: 1.041 | Acc: 74.089% (569/768)              
 [====>............................................................] 4/40   Step: 427ms | Tot: 1s468ms | Loss: 1.048 | Acc: 73.828% (756/1024)              
 [======>..........................................................] 5/40   Step: 423ms | Tot: 1s891ms | Loss: 1.007 | Acc: 74.609% (955/1280)              
 [========>........................................................] 6/40   Step: 421ms | Tot: 2s312ms | Loss: 1.010 | Acc: 74.544% (1145/1536)              
