cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 5439 samples for weakkness <= 5.
Train with the selected 5439 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [=============================>...................................] 11/22   Step: 1s100ms | Tot: 10s162ms | Loss: 0.003 | Acc: 100.000% (2816/2816)              
 [================================>................................] 12/22   Step: 967ms | Tot: 11s130ms | Loss: 0.003 | Acc: 100.000% (3072/3072)              
 [===================================>.............................] 13/22   Step: 982ms | Tot: 12s112ms | Loss: 0.003 | Acc: 100.000% (3328/3328)              
 [======================================>..........................] 14/22   Step: 967ms | Tot: 13s79ms | Loss: 0.003 | Acc: 100.000% (3584/3584)              
 [=========================================>.......................] 15/22   Step: 964ms | Tot: 14s44ms | Loss: 0.003 | Acc: 100.000% (3840/3840)              
 [============================================>....................] 16/22   Step: 1s79ms | Tot: 15s124ms | Loss: 0.003 | Acc: 100.000% (4096/4096)              
 [===============================================>.................] 17/22   Step: 965ms | Tot: 16s89ms | Loss: 0.003 | Acc: 100.000% (4352/4352)              
 [==================================================>..............] 18/22   Step: 880ms | Tot: 16s970ms | Loss: 0.003 | Acc: 100.000% (4608/4608)              
 [=====================================================>...........] 19/22   Step: 856ms | Tot: 17s826ms | Loss: 0.003 | Acc: 100.000% (4864/4864)              
 [========================================================>........] 20/22   Step: 972ms | Tot: 18s798ms | Loss: 0.003 | Acc: 100.000% (5120/5120)              
 [===========================================================>.....] 21/22   Step: 851ms | Tot: 19s650ms | Loss: 0.003 | Acc: 100.000% (5376/5376)              
 [==============================================================>..] 22/22   Step: 859ms | Tot: 20s510ms | Loss: 0.004 | Acc: 99.982% (5438/5439)
 [>................................................................] 1/40   Step: 1s186ms | Tot: 0ms | Loss: 1.052 | Acc: 76.172% (195/256)              
 [=>...............................................................] 2/40   Step: 422ms | Tot: 422ms | Loss: 1.055 | Acc: 74.609% (382/512)              
 [===>.............................................................] 3/40   Step: 422ms | Tot: 845ms | Loss: 0.982 | Acc: 76.302% (586/768)              
 [====>............................................................] 4/40   Step: 585ms | Tot: 1s430ms | Loss: 1.013 | Acc: 76.270% (781/1024)              
 [======>..........................................................] 5/40   Step: 422ms | Tot: 1s853ms | Loss: 0.972 | Acc: 77.500% (992/1280)              
