cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 14546 samples for weakkness <= 9.
Train with the selected 14546 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [================================================>................] 31/40   Step: 412ms | Tot: 13s13ms | Loss: 0.305 | Acc: 91.998% (7301/7936)              
 [==================================================>..............] 32/40   Step: 413ms | Tot: 13s427ms | Loss: 0.301 | Acc: 92.017% (7538/8192)              
 [====================================================>............] 33/40   Step: 518ms | Tot: 13s945ms | Loss: 0.302 | Acc: 92.010% (7773/8448)              
 [=====================================================>...........] 34/40   Step: 412ms | Tot: 14s357ms | Loss: 0.304 | Acc: 92.004% (8008/8704)              
 [=======================================================>.........] 35/40   Step: 412ms | Tot: 14s770ms | Loss: 0.305 | Acc: 92.054% (8248/8960)              
 [========================================================>........] 36/40   Step: 372ms | Tot: 15s142ms | Loss: 0.307 | Acc: 91.981% (8477/9216)              
 [==========================================================>......] 37/40   Step: 368ms | Tot: 15s510ms | Loss: 0.306 | Acc: 92.050% (8719/9472)              
 [============================================================>....] 38/40   Step: 368ms | Tot: 15s879ms | Loss: 0.308 | Acc: 92.013% (8951/9728)              
 [=============================================================>...] 39/40   Step: 473ms | Tot: 16s352ms | Loss: 0.306 | Acc: 92.057% (9191/9984)              
 [===============================================================>.] 40/40   Step: 2s408ms | Tot: 18s761ms | Loss: 0.306 | Acc: 92.060% (9206/10000)
Saving with better validation accuracy model: 92.060..

Epoch: 1
 [>................................................................] 1/57   Step: 3s34ms | Tot: 0ms | Loss: 0.002 | Acc: 100.000% (256/256)              
 [=>...............................................................] 2/57   Step: 973ms | Tot: 973ms | Loss: 0.002 | Acc: 100.000% (512/512)              
 [==>..............................................................] 3/57   Step: 963ms | Tot: 1s937ms | Loss: 0.002 | Acc: 100.000% (768/768)              
 [===>.............................................................] 4/57   Step: 1s123ms | Tot: 3s60ms | Loss: 0.002 | Acc: 100.000% (1024/1024)              
 [====>............................................................] 5/57   Step: 956ms | Tot: 4s17ms | Loss: 0.002 | Acc: 100.000% (1280/1280)              
 [=====>...........................................................] 6/57   Step: 959ms | Tot: 4s977ms | Loss: 0.002 | Acc: 100.000% (1536/1536)              
 [======>..........................................................] 7/57   Step: 957ms | Tot: 5s934ms | Loss: 0.002 | Acc: 100.000% (1792/1792)              
 [=======>.........................................................] 8/57   Step: 1s113ms | Tot: 7s47ms | Loss: 0.002 | Acc: 100.000% (2048/2048)              
 [=========>.......................................................] 9/57   Step: 956ms | Tot: 8s4ms | Loss: 0.002 | Acc: 100.000% (2304/2304)              
 [==========>......................................................] 10/57   Step: 954ms | Tot: 8s958ms | Loss: 0.002 | Acc: 100.000% (2560/2560)              
 [===========>.....................................................] 11/57   Step: 954ms | Tot: 9s913ms | Loss: 0.002 | Acc: 100.000% (2816/2816)              
 [============>....................................................] 12/57   Step: 960ms | Tot: 10s873ms | Loss: 0.003 | Acc: 99.967% (3071/3072)              
 [=============>...................................................] 13/57   Step: 1s74ms | Tot: 11s948ms | Loss: 0.003 | Acc: 99.970% (3327/3328)              
 [==============>..................................................] 14/57   Step: 953ms | Tot: 12s901ms | Loss: 0.003 | Acc: 99.972% (3583/3584)              
 [===============>.................................................] 15/57   Step: 955ms | Tot: 13s857ms | Loss: 0.003 | Acc: 99.974% (3839/3840)              
 [=================>...............................................] 16/57   Step: 952ms | Tot: 14s809ms | Loss: 0.003 | Acc: 99.976% (4095/4096)              
 [==================>..............................................] 17/57   Step: 959ms | Tot: 15s769ms | Loss: 0.003 | Acc: 99.977% (4351/4352)              
 [===================>.............................................] 18/57   Step: 1s76ms | Tot: 16s845ms | Loss: 0.003 | Acc: 99.978% (4607/4608)              
 [====================>............................................] 19/57   Step: 962ms | Tot: 17s807ms | Loss: 0.003 | Acc: 99.979% (4863/4864)              
 [=====================>...........................................] 20/57   Step: 963ms | Tot: 18s770ms | Loss: 0.003 | Acc: 99.980% (5119/5120)              
 [======================>..........................................] 21/57   Step: 954ms | Tot: 19s725ms | Loss: 0.003 | Acc: 99.981% (5375/5376)              
 [=======================>.........................................] 22/57   Step: 1s63ms | Tot: 20s788ms | Loss: 0.003 | Acc: 99.982% (5631/5632)              
 [=========================>.......................................] 23/57   Step: 955ms | Tot: 21s744ms | Loss: 0.003 | Acc: 99.983% (5887/5888)              
 [==========================>......................................] 24/57   Step: 953ms | Tot: 22s698ms | Loss: 0.003 | Acc: 99.984% (6143/6144)              
 [===========================>.....................................] 25/57   Step: 954ms | Tot: 23s652ms | Loss: 0.003 | Acc: 99.984% (6399/6400)              
 [============================>....................................] 26/57   Step: 957ms | Tot: 24s609ms | Loss: 0.003 | Acc: 99.985% (6655/6656)              
 [=============================>...................................] 27/57   Step: 1s56ms | Tot: 25s666ms | Loss: 0.003 | Acc: 99.986% (6911/6912)              
 [==============================>..................................] 28/57   Step: 975ms | Tot: 26s641ms | Loss: 0.003 | Acc: 99.986% (7167/7168)              
 [===============================>.................................] 29/57   Step: 955ms | Tot: 27s597ms | Loss: 0.003 | Acc: 99.987% (7423/7424)              
 [=================================>...............................] 30/57   Step: 954ms | Tot: 28s551ms | Loss: 0.003 | Acc: 99.987% (7679/7680)              
 [==================================>..............................] 31/57   Step: 1s70ms | Tot: 29s622ms | Loss: 0.003 | Acc: 99.987% (7935/7936)              
 [===================================>.............................] 32/57   Step: 961ms | Tot: 30s583ms | Loss: 0.003 | Acc: 99.988% (8191/8192)              
 [====================================>............................] 33/57   Step: 955ms | Tot: 31s539ms | Loss: 0.003 | Acc: 99.988% (8447/8448)              
 [=====================================>...........................] 34/57   Step: 958ms | Tot: 32s498ms | Loss: 0.003 | Acc: 99.989% (8703/8704)              
 [======================================>..........................] 35/57   Step: 958ms | Tot: 33s456ms | Loss: 0.003 | Acc: 99.989% (8959/8960)              
 [=======================================>.........................] 36/57   Step: 1s60ms | Tot: 34s517ms | Loss: 0.003 | Acc: 99.989% (9215/9216)              
 [=========================================>.......................] 37/57   Step: 962ms | Tot: 35s479ms | Loss: 0.003 | Acc: 99.989% (9471/9472)              
