cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 24951 samples for weakkness <= 13.
Train with the selected 24951 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/98   Step: 1m798ms | Tot: 0ms | Loss: 0.192 | Acc: 93.359% (239/256)              
 [>................................................................] 2/98   Step: 1s982ms | Tot: 1s982ms | Loss: 0.186 | Acc: 93.359% (478/512)              
 [=>...............................................................] 3/98   Step: 985ms | Tot: 2s967ms | Loss: 0.182 | Acc: 93.359% (717/768)              
 [=>...............................................................] 4/98   Step: 1s137ms | Tot: 4s105ms | Loss: 0.192 | Acc: 93.164% (954/1024)              
 [==>..............................................................] 5/98   Step: 963ms | Tot: 5s69ms | Loss: 0.192 | Acc: 92.812% (1188/1280)              
 [===>.............................................................] 6/98   Step: 974ms | Tot: 6s43ms | Loss: 0.182 | Acc: 93.424% (1435/1536)              
 [===>.............................................................] 7/98   Step: 964ms | Tot: 7s8ms | Loss: 0.172 | Acc: 93.862% (1682/1792)              
 [====>............................................................] 8/98   Step: 967ms | Tot: 7s975ms | Loss: 0.173 | Acc: 93.799% (1921/2048)              
 [=====>...........................................................] 9/98   Step: 1s65ms | Tot: 9s40ms | Loss: 0.171 | Acc: 93.924% (2164/2304)              
 [=====>...........................................................] 10/98   Step: 963ms | Tot: 10s3ms | Loss: 0.166 | Acc: 94.180% (2411/2560)              
 [======>..........................................................] 11/98   Step: 968ms | Tot: 10s972ms | Loss: 0.160 | Acc: 94.389% (2658/2816)              
 [=======>.........................................................] 12/98   Step: 960ms | Tot: 11s932ms | Loss: 0.159 | Acc: 94.434% (2901/3072)              
 [=======>.........................................................] 13/98   Step: 1s84ms | Tot: 13s17ms | Loss: 0.157 | Acc: 94.651% (3150/3328)              
 [========>........................................................] 14/98   Step: 970ms | Tot: 13s988ms | Loss: 0.152 | Acc: 94.754% (3396/3584)              
 [=========>.......................................................] 15/98   Step: 968ms | Tot: 14s957ms | Loss: 0.150 | Acc: 94.922% (3645/3840)              
 [====>............................................................] 8/98   Step: 964ms | Tot: 7s48ms | Loss: 0.041 | Acc: 98.779% (2023/2048)              
 [=====>...........................................................] 9/98   Step: 970ms | Tot: 8s18ms | Loss: 0.044 | Acc: 98.741% (2275/2304)              
 [=====>...........................................................] 10/98   Step: 966ms | Tot: 8s985ms | Loss: 0.045 | Acc: 98.711% (2527/2560)              
 [======>..........................................................] 11/98   Step: 1s65ms | Tot: 10s50ms | Loss: 0.045 | Acc: 98.722% (2780/2816)              
 [=======>.........................................................] 12/98   Step: 965ms | Tot: 11s15ms | Loss: 0.045 | Acc: 98.763% (3034/3072)              
 [=======>.........................................................] 13/98   Step: 963ms | Tot: 11s979ms | Loss: 0.045 | Acc: 98.738% (3286/3328)              
 [========>........................................................] 14/98   Step: 961ms | Tot: 12s940ms | Loss: 0.044 | Acc: 98.800% (3541/3584)              
 [=========>.......................................................] 15/98   Step: 959ms | Tot: 13s900ms | Loss: 0.044 | Acc: 98.750% (3792/3840)              
 [=========>.......................................................] 16/98   Step: 1s68ms | Tot: 14s968ms | Loss: 0.044 | Acc: 98.730% (4044/4096)              
 [==========>......................................................] 17/98   Step: 972ms | Tot: 15s941ms | Loss: 0.044 | Acc: 98.736% (4297/4352)              
 [===========>.....................................................] 18/98   Step: 965ms | Tot: 16s907ms | Loss: 0.043 | Acc: 98.763% (4551/4608)              
 [===========>.....................................................] 19/98   Step: 959ms | Tot: 17s866ms | Loss: 0.042 | Acc: 98.808% (4806/4864)              
 [============>....................................................] 20/98   Step: 962ms | Tot: 18s829ms | Loss: 0.042 | Acc: 98.848% (5061/5120)              
 [=============>...................................................] 21/98   Step: 1s65ms | Tot: 19s894ms | Loss: 0.042 | Acc: 98.847% (5314/5376)              
 [=============>...................................................] 22/98   Step: 962ms | Tot: 20s857ms | Loss: 0.041 | Acc: 98.881% (5569/5632)              
 [==============>..................................................] 23/98   Step: 961ms | Tot: 21s819ms | Loss: 0.041 | Acc: 98.879% (5822/5888)              
 [===============>.................................................] 24/98   Step: 967ms | Tot: 22s786ms | Loss: 0.041 | Acc: 98.910% (6077/6144)              
 [===============>.................................................] 25/98   Step: 1s67ms | Tot: 23s853ms | Loss: 0.042 | Acc: 98.891% (6329/6400)              
 [================>................................................] 26/98   Step: 963ms | Tot: 24s817ms | Loss: 0.041 | Acc: 98.903% (6583/6656)              
 [=================>...............................................] 27/98   Step: 980ms | Tot: 25s797ms | Loss: 0.042 | Acc: 98.872% (6834/6912)              
 [=================>...............................................] 28/98   Step: 968ms | Tot: 26s766ms | Loss: 0.042 | Acc: 98.884% (7088/7168)              
 [==================>..............................................] 29/98   Step: 970ms | Tot: 27s736ms | Loss: 0.041 | Acc: 98.922% (7344/7424)              
 [===================>.............................................] 30/98   Step: 1s65ms | Tot: 28s802ms | Loss: 0.041 | Acc: 98.932% (7598/7680)              
 [===================>.............................................] 31/98   Step: 960ms | Tot: 29s762ms | Loss: 0.041 | Acc: 98.929% (7851/7936)              
 [====================>............................................] 32/98   Step: 960ms | Tot: 30s723ms | Loss: 0.041 | Acc: 98.926% (8104/8192)              
