cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 1
Train with the cl selected dataset.
------------------ Start to select subsets ------------------
Selected 70 percent training data.
Use multiple GPU to train the network.
Use 150 epochs

Epoch: 0
 [>................................................................] 1/110   Step: 1m3s | Tot: 0ms | Loss: 2.337 | Acc: 9.375% (24/256)              
 [>................................................................] 2/110   Step: 1s980ms | Tot: 1s980ms | Loss: 2.317 | Acc: 13.086% (67/512)              
 [=>...............................................................] 3/110   Step: 986ms | Tot: 2s967ms | Loss: 2.252 | Acc: 15.495% (119/768)              
 [=>...............................................................] 4/110   Step: 1s133ms | Tot: 4s100ms | Loss: 2.232 | Acc: 16.113% (165/1024)              
 [==>..............................................................] 5/110   Step: 957ms | Tot: 5s58ms | Loss: 2.231 | Acc: 16.875% (216/1280)              
 [==>..............................................................] 6/110   Step: 962ms | Tot: 6s20ms | Loss: 2.208 | Acc: 17.513% (269/1536)              
 [===>.............................................................] 7/110   Step: 958ms | Tot: 6s979ms | Loss: 2.207 | Acc: 18.248% (327/1792)              
 [====>............................................................] 8/110   Step: 964ms | Tot: 7s943ms | Loss: 2.192 | Acc: 18.359% (376/2048)              
 [====>............................................................] 9/110   Step: 1s62ms | Tot: 9s6ms | Loss: 2.190 | Acc: 19.575% (451/2304)              
 [=====>...........................................................] 10/110   Step: 957ms | Tot: 9s964ms | Loss: 2.175 | Acc: 19.805% (507/2560)              
 [=====>...........................................................] 11/110   Step: 958ms | Tot: 10s923ms | Loss: 2.173 | Acc: 20.348% (573/2816)              
 [======>..........................................................] 12/110   Step: 952ms | Tot: 11s875ms | Loss: 2.169 | Acc: 20.573% (632/3072)              
 [==========================>......................................] 17/40   Step: 418ms | Tot: 7s137ms | Loss: 1.853 | Acc: 38.672% (1683/4352)              
 [===========================>.....................................] 18/40   Step: 418ms | Tot: 7s555ms | Loss: 1.848 | Acc: 38.737% (1785/4608)              
 [=============================>...................................] 19/40   Step: 417ms | Tot: 7s972ms | Loss: 1.846 | Acc: 38.672% (1881/4864)              
 [==============================>..................................] 20/40   Step: 417ms | Tot: 8s389ms | Loss: 1.848 | Acc: 38.770% (1985/5120)              
 [================================>................................] 21/40   Step: 417ms | Tot: 8s807ms | Loss: 1.850 | Acc: 38.653% (2078/5376)              
 [==================================>..............................] 22/40   Step: 520ms | Tot: 9s327ms | Loss: 1.846 | Acc: 38.565% (2172/5632)              
 [===================================>.............................] 23/40   Step: 418ms | Tot: 9s746ms | Loss: 1.846 | Acc: 38.706% (2279/5888)              
 [=====================================>...........................] 24/40   Step: 417ms | Tot: 10s163ms | Loss: 1.840 | Acc: 38.851% (2387/6144)              
 [=======================================>.........................] 25/40   Step: 417ms | Tot: 10s581ms | Loss: 1.840 | Acc: 39.016% (2497/6400)              
 [========================================>........................] 26/40   Step: 417ms | Tot: 10s998ms | Loss: 1.840 | Acc: 39.002% (2596/6656)              
 [==========================================>......................] 27/40   Step: 522ms | Tot: 11s521ms | Loss: 1.844 | Acc: 38.831% (2684/6912)              
 [===========================================>.....................] 28/40   Step: 421ms | Tot: 11s943ms | Loss: 1.843 | Acc: 38.783% (2780/7168)              
 [=============================================>...................] 29/40   Step: 416ms | Tot: 12s359ms | Loss: 1.845 | Acc: 38.699% (2873/7424)              
 [===============================================>.................] 30/40   Step: 416ms | Tot: 12s776ms | Loss: 1.846 | Acc: 38.633% (2967/7680)              
 [================================================>................] 31/40   Step: 417ms | Tot: 13s194ms | Loss: 1.840 | Acc: 38.722% (3073/7936)              
 [==================================================>..............] 32/40   Step: 417ms | Tot: 13s611ms | Loss: 1.843 | Acc: 38.550% (3158/8192)              
 [====================================================>............] 33/40   Step: 522ms | Tot: 14s133ms | Loss: 1.843 | Acc: 38.577% (3259/8448)              
 [=====================================================>...........] 34/40   Step: 416ms | Tot: 14s550ms | Loss: 1.842 | Acc: 38.591% (3359/8704)              
 [=======================================================>.........] 35/40   Step: 417ms | Tot: 14s967ms | Loss: 1.844 | Acc: 38.594% (3458/8960)              
 [========================================================>........] 36/40   Step: 377ms | Tot: 15s344ms | Loss: 1.843 | Acc: 38.639% (3561/9216)              
 [==========================================================>......] 37/40   Step: 373ms | Tot: 15s717ms | Loss: 1.845 | Acc: 38.609% (3657/9472)              
 [============================================================>....] 38/40   Step: 494ms | Tot: 16s212ms | Loss: 1.841 | Acc: 38.713% (3766/9728)              
 [=============================================================>...] 39/40   Step: 372ms | Tot: 16s584ms | Loss: 1.845 | Acc: 38.602% (3854/9984)              
 [===============================================================>.] 40/40   Step: 2s292ms | Tot: 18s877ms | Loss: 1.845 | Acc: 38.620% (3862/10000)
Saving with better validation accuracy model: 38.620..

Epoch: 1
 [>................................................................] 1/110   Step: 3s39ms | Tot: 0ms | Loss: 1.548 | Acc: 42.188% (108/256)              
 [>................................................................] 2/110   Step: 959ms | Tot: 959ms | Loss: 1.487 | Acc: 42.773% (219/512)              
 [=>...............................................................] 3/110   Step: 1s123ms | Tot: 2s83ms | Loss: 1.420 | Acc: 45.573% (350/768)              
 [=>...............................................................] 4/110   Step: 958ms | Tot: 3s42ms | Loss: 1.407 | Acc: 46.582% (477/1024)              
 [==>..............................................................] 5/110   Step: 959ms | Tot: 4s2ms | Loss: 1.425 | Acc: 46.875% (600/1280)              
 [==>..............................................................] 6/110   Step: 973ms | Tot: 4s975ms | Loss: 1.422 | Acc: 47.396% (728/1536)              
 [===>.............................................................] 7/110   Step: 958ms | Tot: 5s933ms | Loss: 1.423 | Acc: 47.991% (860/1792)              
 [====>............................................................] 8/110   Step: 1s63ms | Tot: 6s997ms | Loss: 1.429 | Acc: 47.510% (973/2048)              
 [====>............................................................] 9/110   Step: 956ms | Tot: 7s953ms | Loss: 1.419 | Acc: 48.264% (1112/2304)              
 [=====>...........................................................] 10/110   Step: 956ms | Tot: 8s910ms | Loss: 1.404 | Acc: 48.984% (1254/2560)              
 [=====>...........................................................] 11/110   Step: 958ms | Tot: 9s868ms | Loss: 1.400 | Acc: 49.006% (1380/2816)              
 [======>..........................................................] 12/110   Step: 1s58ms | Tot: 10s927ms | Loss: 1.396 | Acc: 48.893% (1502/3072)              
 [=======>.........................................................] 13/110   Step: 958ms | Tot: 11s885ms | Loss: 1.389 | Acc: 49.099% (1634/3328)              
 [=======>.........................................................] 14/110   Step: 955ms | Tot: 12s841ms | Loss: 1.379 | Acc: 49.554% (1776/3584)              
 [========>........................................................] 15/110   Step: 956ms | Tot: 13s798ms | Loss: 1.379 | Acc: 49.844% (1914/3840)              
 [========>........................................................] 16/110   Step: 972ms | Tot: 14s770ms | Loss: 1.376 | Acc: 49.854% (2042/4096)              
 [=========>.......................................................] 17/110   Step: 1s62ms | Tot: 15s832ms | Loss: 1.372 | Acc: 49.931% (2173/4352)              
 [==========>......................................................] 18/110   Step: 955ms | Tot: 16s787ms | Loss: 1.365 | Acc: 50.347% (2320/4608)              
 [==========>......................................................] 19/110   Step: 967ms | Tot: 17s754ms | Loss: 1.363 | Acc: 50.432% (2453/4864)              
 [===========>.....................................................] 20/110   Step: 958ms | Tot: 18s713ms | Loss: 1.353 | Acc: 50.781% (2600/5120)              
 [===========>.....................................................] 21/110   Step: 1s75ms | Tot: 19s788ms | Loss: 1.351 | Acc: 50.911% (2737/5376)              
 [============>....................................................] 22/110   Step: 955ms | Tot: 20s744ms | Loss: 1.348 | Acc: 51.012% (2873/5632)              
 [=============>...................................................] 23/110   Step: 953ms | Tot: 21s697ms | Loss: 1.341 | Acc: 51.376% (3025/5888)              
 [=============>...................................................] 24/110   Step: 957ms | Tot: 22s654ms | Loss: 1.338 | Acc: 51.253% (3149/6144)              
 [==============>..................................................] 25/110   Step: 957ms | Tot: 23s612ms | Loss: 1.339 | Acc: 51.469% (3294/6400)              
 [==============>..................................................] 26/110   Step: 1s79ms | Tot: 24s692ms | Loss: 1.340 | Acc: 51.442% (3424/6656)              
 [===============>.................................................] 27/110   Step: 961ms | Tot: 25s653ms | Loss: 1.333 | Acc: 51.722% (3575/6912)              
 [===============>.................................................] 28/110   Step: 960ms | Tot: 26s613ms | Loss: 1.331 | Acc: 51.814% (3714/7168)              
 [================>................................................] 29/110   Step: 956ms | Tot: 27s570ms | Loss: 1.327 | Acc: 52.115% (3869/7424)              
 [=================>...............................................] 30/110   Step: 954ms | Tot: 28s525ms | Loss: 1.326 | Acc: 52.279% (4015/7680)              
 [=================>...............................................] 31/110   Step: 1s61ms | Tot: 29s586ms | Loss: 1.325 | Acc: 52.319% (4152/7936)              
 [==================>..............................................] 32/110   Step: 955ms | Tot: 30s541ms | Loss: 1.322 | Acc: 52.356% (4289/8192)              
 [==================>..............................................] 33/110   Step: 958ms | Tot: 31s500ms | Loss: 1.323 | Acc: 52.285% (4417/8448)              
